sequenceID,small_end,big_end
1.1,-1,0.5
1.11,-0.5,0.5
1.15,-1,0
1.6,-0.5,0.5
1.9,0,0.5
106.11,0,1
106.17,-0.5,1
106.5,-0.5,inf
106.6,-1,0
106.9,-1,0
109.2,-0.5,0
109.8,-1.5,0
11.1,0,1
11.4,-0.5,0
12.1,-0.5,0
12.11,-0.5,1
12.17,-0.5,1
12.2,-1,0.5
12.6,-1,0.5
12.X,-0.5,0
128.12,-0.5,0
128.17,0,1
128.2,-1,0
128.3,-0.5,0.5
128.6,-1,0
138.1,-0.5,0.5
139.3,-1,0
139.4,-1.5,-0.5
139.7,-0.5,0.5
145.1,-1,0.5
145.17,0,0.5
145.19,-1,-0.5
145.2,-1,0.5
145.3,0,0.5
145.4,-1,-0.5
145.6,-1,0
145.7,-1.5,0
149.1,-0.5,-0.5
149.11,-0.5,0.5
149.2,-1,0
149.6,-1.5,-1
153.11,0,0
153.17,0,0
153.18,-1,-0.5
153.2,0,0.5
153.4,-1,0
153.7,-1,inf
162.1,-0.5,0
162.11,-0.5,0.5
162.17,-0.5,0.5
162.19,-1,0
162.22,-0.5,-0.5
162.3,-0.5,0
162.5,-0.5,0.5
162.7,-1,0
162.8,-0.5,0
17.1,-1,0
17.11,-0.5,-0.5
172.1,-0.5,0
172.17,-1,0
172.3,-1.5,0
172.4,-1,-0.5
173.11,-0.5,0
173.15,-1,0
173.16,-1,0
173.19,-0.5,inf
173.4,-1,0
173.8,-0.5,0
188.1,-0.5,1
188.2,-0.5,0.5
188.3,0,1
188.6,-1,0.5
188.9,-1,0.5
189.1,0,0.5
189.11,-0.5,1
189.15,-0.5,0
189.17,-0.5,1
189.18,-1,-0.5
189.2,-1,-0.5
189.20,0,0
189.3,-1,0.5
189.5,-1,0.5
189.X,-0.5,0
2.1,-0.5,1.5
2.19,-1,0
20003.2,1,2
20005.2,0.5,2
20005.3,0,0.5
20033.11,1,1
20052.3,-0.5,0.5
20082.22,1,1
20090.20,1,1.5
20092.19,1.5,2.5
20105.22,0,inf
20108.20,1,1.5
