sequenceID,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
13,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
14,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
15,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
16,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
17,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
18,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
19,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((2, 0), (2, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
20,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
21,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
22,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
23,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
24,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
25,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
26,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
27,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
28,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
29,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
30,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
31,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
32,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
33,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
34,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
35,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))"
36,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
37,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
38,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
39,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))"
40,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
41,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
42,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
43,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
44,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
45,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
46,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
47,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
48,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
