sequenceID,range_value,variance,sum_diff,length
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,871,292.8727012,2182138,1656457
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,1342,431.4498684,2217322,1654359
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,1218,691.9237742,1151921,811776
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,1140,325.3955272,9541155,7244931
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,1102,427.2150036,5380804,3993542
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,1130,309.9020988,1922040,1450386
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,1252,301.0315524,7525805,5740811
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,829,152.1858561,9761953,7780681
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,666,170.4009244,1241760,986274
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,671,144.3649566,1327626,982031
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378,1002,198.3054363,1307908,954362
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876,944,304.686874,651408,444518
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540,1001,177.5968814,5775882,4257591
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383,823,206.8112806,3151216,2260752
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846,732,161.6549342,1186756,867617
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr4:75452279-190000000,810,81.81266097,6059202,4736234
ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997,462,86.61283001,700553,537828
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr10:18024675-38818835,1017,292.7230499,1622966,1085695
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr11:69774695-87688378,1473,534.8787114,1750438,1140598
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr12:145739-7189876,1513,796.0776461,937640,581460
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr14:19050000-107289540,1785,481.6633734,7488505,4909253
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr16:46510000-88389383,1348,556.4360105,4377258,2819124
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270,1830,398.9471474,5806818,3857213
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr4:75452279-190000000,1214,164.8430267,6758649,4761838
ATAC_JV_adipose/samples/AC1/MSC83/problems/chrX:37148256-49242997,1001,253.3107824,919637,637391
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr10:18024675-38818835,965,317.4015672,1551626,1099937
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr11:69774695-87688378,1468,516.4456553,1568786,1091500
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr12:145739-7189876,1262,743.9644965,804596,524014
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr14:19050000-107289540,1618,465.5600609,6880779,4807124
