"sequenceID","llda"
"H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835",11.2720156871176
"H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128",11.2720156871176
"H3K27me3_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr14:19050000-107289540",15.8916095246331
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr14:19050000-107289540",15.8916095246331
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr4:75452279-190000000",15.8916095246331
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr4:9324642-31820917",12.4606661873237
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr14:19050000-107289540",9.51393487987464
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:60000-66170270",11.2720156871176
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:93504854-194041961",11.2720156871176
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr4:75452279-190000000",11.2720156871176
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr4:9324642-31820917",11.2720156871176
"H3K27me3_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr5:49600000-91636128",12.4606661873237
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr10:18024675-38818835",11.2720156871176
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr14:19050000-107289540",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr4:75452279-190000000",9.51393487987464
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr4:9324642-31820917",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS032901/problems/chr5:49600000-91636128",11.2720156871176
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr10:18024675-38818835",11.2720156871176
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr14:19050000-107289540",9.51393487987464
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr4:75452279-190000000",9.51393487987464
"H3K27me3_TDH_some/samples/ips/MS033001/problems/chr4:9324642-31820917",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr10:18024675-38818835",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr14:19050000-107289540",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr3:93504854-194041961",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr4:75452279-190000000",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr4:9324642-31820917",15.8916095246331
"H3K27me3_TDH_some/samples/ips/MS033101/problems/chr5:49600000-91636128",15.8916095246331
